Date,Volume,Open,High,Low,Close
2017-10-24,67285346,22.5867,22.8533,22.4107,22.4893
2017-10-25,128754221,22.4467,22.5,21.5707,21.7227
2017-10-26,75151267,21.852,22.0153,21.5467,21.7447
2017-10-27,104525423,21.3167,21.6393,21.1107,21.3913
2017-10-30,63714253,21.2787,21.5853,21.15,21.3387
2017-10-31,84750888,21.3487,22.13,21.3453,22.102
2017-11-01,123637243,22.15,22.1739,21.3507,21.4053
2017-11-02,296569052,20.0087,20.5793,19.5087,19.9507
2017-11-03,133288928,19.9667,20.4167,19.6753,20.406
2017-11-06,97210286,20.4667,20.5,19.934,20.1853
2017-11-07,79272620,20.068,20.4333,20.002,20.4033
2017-11-08,70880290,20.3667,20.4593,20.0867,20.2927
2017-11-09,81602554,20.1667,20.2973,19.7533,20.1993
2017-11-10,69316165,20.1667,20.5573,20.1233,20.1993
2017-11-13,113478573,20.0087,21.12,19.9407,21.0267
2017-11-14,84928518,21.0,21.09,20.46,20.58
2017-11-15,89277480,20.4007,20.8327,20.1,20.7533
2017-11-16,86916092,20.9327,21.2093,20.7533,20.8333
2017-11-17,205812347,21.7113,21.778,20.8767,21.0033
2017-11-20,123627253,20.9193,21.0333,20.3167,20.5827
2017-11-21,108845661,20.724,21.2153,20.5807,21.1873
2017-11-22,73699208,21.118,21.1613,20.7893,20.84
2017-11-24,48660951,20.9193,21.094,20.7333,21.0367
2017-11-27,68066651,20.8833,21.156,20.634,21.1207
2017-11-28,74125508,21.0907,21.3333,20.928,21.17
2017-11-29,131361879,21.1533,21.2,20.082,20.5027
2017-11-30,65181477,20.5707,20.7133,20.3027,20.59
2017-12-01,64291198,20.3627,20.688,20.3367,20.4353
2017-12-04,87513361,20.4333,20.551,20.0407,20.3467
2017-12-05,69655585,20.1333,20.5333,20.0667,20.2467
2017-12-06,107767101,20.0067,20.8927,20.0,20.884
2017-12-07,71693814,20.8,21.2423,20.7367,20.7493
2017-12-08,51991294,20.9733,21.132,20.7507,21.0087
2017-12-11,118891291,20.9753,21.934,20.9167,21.9273
2017-12-12,130733485,22.03,22.7627,22.002,22.7353
2017-12-13,93265468,22.7287,22.948,22.4333,22.602
2017-12-14,86880317,22.734,23.1627,22.46,22.526
2017-12-15,103818638,22.8027,22.9267,22.384,22.8967
2017-12-18,81998149,22.9933,23.1153,22.5053,22.5913
2017-12-19,102312969,22.684,22.7662,22.02,22.0733
2017-12-20,88610626,22.1793,22.2067,21.6693,21.932
2017-12-21,65549877,21.9727,22.2493,21.814,22.1107
2017-12-22,63113998,21.9673,22.0614,21.6547,21.68
2017-12-26,65530452,21.5887,21.596,21.1053,21.1527
2017-12-27,70576225,21.0667,21.1787,20.7167,20.776
2017-12-28,64601158,20.7833,21.0547,20.636,21.024
2017-12-29,56542532,21.0787,21.094,20.6667,20.7567
2018-01-02,65184192,20.8,21.474,20.7333,21.3687
2018-01-03,66577767,21.4,21.6833,21.0367,21.15
2018-01-04,149168820,20.858,21.2367,20.3787,20.9747
2018-01-05,68830886,21.108,21.1493,20.8,21.1053
2018-01-08,147489076,21.0667,22.468,21.0333,22.4273
2018-01-09,107017821,22.344,22.5867,21.827,22.246
2018-01-10,64545763,22.1467,22.4667,22.0,22.32
2018-01-11,99612895,22.3493,22.9873,22.2173,22.53
2018-01-12,72337599,22.5753,22.694,22.2447,22.4147
2018-01-16,96438462,22.5027,23.0,22.32,22.6707
2018-01-17,106388257,22.698,23.2667,22.65,23.144
2018-01-18,85194392,23.0447,23.4867,22.916,22.9713
2018-01-19,73067678,23.0,23.3727,22.84,23.3347
2018-01-22,92996609,23.2933,23.8553,23.28,23.4373
2018-01-23,81714289,24.0,24.0333,23.4,23.5193
2018-01-24,79160750,23.6387,23.65,22.9013,23.0593
2018-01-25,100878070,23.218,23.28,22.4267,22.5093
2018-01-26,68031821,22.7667,22.9333,22.3807,22.8567
2018-01-29,71073084,22.6567,23.39,22.552,23.302
2018-01-30,70660225,23.0093,23.218,22.8113,23.0547
2018-01-31,92990549,23.1673,23.746,23.0127,23.6207
2018-02-01,62811569,23.4,23.9773,23.242,23.2833
2018-02-02,55442327,23.2293,23.4633,22.7007,22.9167
2018-02-05,66617457,22.5313,22.9647,22.2,22.2087
2018-02-06,76200442,21.6807,22.4147,21.5667,22.2647
2018-02-07,100945180,22.5993,23.0667,22.3773,23.0
2018-02-08,154446223,22.8873,23.2413,20.9733,21.0153
2018-02-09,193866353,21.3287,21.399,19.6507,20.6947
2018-02-12,93367138,21.0753,21.2053,20.4167,21.0487
2018-02-13,68319431,21.0013,21.6127,20.834,21.5773
2018-02-14,59221125,21.3893,21.7447,21.2347,21.4873
2018-02-15,88647301,21.6333,22.2747,21.4933,22.271
2018-02-16,84602718,22.1667,22.8747,22.1093,22.366
2018-02-20,60089400,22.298,22.7227,22.1,22.318
2018-02-21,48108726,22.402,22.6462,22.2113,22.22
2018-02-22,104428148,22.3687,23.1627,22.3167,23.078
2018-02-23,87212611,23.1887,23.666,23.14,23.47
2018-02-26,65017467,23.5667,23.9333,23.4903,23.828
2018-02-27,71775294,23.75,23.9993,23.334,23.3993
2018-02-28,90990615,23.5047,23.6827,22.8147,22.8707
2018-03-01,103088228,23.0007,23.2447,22.0047,22.062
2018-03-02,76331797,21.7987,22.348,21.5313,22.3413
2018-03-05,57310501,22.1593,22.5167,21.9529,22.2233
2018-03-06,63547213,22.25,22.4247,21.802,21.88
2018-03-07,75029062,21.696,22.1667,21.4493,22.1533
2018-03-08,52715479,22.1907,22.22,21.7516,21.94
2018-03-09,82541644,21.6067,21.8993,21.4913,21.8113
2018-03-12,123793723,21.9073,23.1473,21.7667,23.034
2018-03-13,89409495,22.9947,23.008,22.4176,22.7893
2018-03-14,119282220,22.4507,22.654,21.5953,21.7753
2018-03-15,98318471,21.9587,22.19,21.4067,21.7067
2018-03-16,91700429,21.7307,21.8267,21.2713,21.4233
2018-03-19,112018294,21.1,21.3833,20.6447,20.904
2018-03-20,71415429,20.9913,21.0833,20.584,20.7033
2018-03-21,89313660,20.6833,21.496,20.6793,21.102
2018-03-22,73873883,20.926,21.2547,20.5453,20.6067
2018-03-23,99599350,20.75,20.774,20.03,20.1027
2018-03-26,125473992,20.4893,20.506,19.424,20.2787
2018-03-27,206805797,20.2667,20.2847,18.4787,18.612
2018-03-28,314434043,17.6387,17.912,16.8067,17.1853
2018-03-29,225216487,17.0993,18.064,16.5473,17.742
2018-04-02,241399229,17.084,17.3555,16.306,16.832
2018-04-03,282444609,17.988,18.2233,16.966,17.8353
2018-04-04,298202551,16.852,19.2247,16.8,19.1293
2018-04-05,285387757,19.2893,20.4173,19.2133,20.3813
2018-04-06,202747849,20.0667,20.6187,19.7,19.9533
2018-04-09,153621073,20.0247,20.6333,19.2807,19.3107
2018-04-10,165255067,19.9313,20.4733,19.5787,20.3133
2018-04-11,112053004,20.0493,20.5987,19.9773,20.062
2018-04-12,113932818,20.1547,20.2633,19.5787,19.6053
2018-04-13,109788320,20.24,20.2633,19.732,20.0227
2018-04-16,94342408,19.9333,19.9773,19.2673,19.414
2018-04-17,103967228,19.258,19.478,18.834,19.1793
2018-04-18,97973396,19.4053,20.016,19.2107,19.5567
2018-04-19,91256954,19.4053,20.0673,19.2367,20.0053
2018-04-20,84339408,19.678,19.9987,19.3167,19.3493
2018-04-23,73211108,19.4193,19.4413,18.822,18.8913
2018-04-24,85173587,19.0,19.1393,18.564,18.8973
